date,ticker,price
2024-01-01,AAPL,149.31954493620745
2024-01-02,AAPL,149.89736576037723
2024-01-03,AAPL,149.83318790561324
2024-01-04,AAPL,149.5081489074937
2024-01-05,AAPL,151.4115265582371
2024-01-06,AAPL,152.89672125764352
2024-01-07,AAPL,152.02682120780378
2024-01-08,AAPL,152.57323806156631
2024-01-09,AAPL,152.5836215965391
2024-01-10,AAPL,150.9579824289898
2024-01-11,AAPL,149.83846224240068
2024-01-12,AAPL,149.81605481823394
2024-01-13,AAPL,150.0241824275432
2024-01-14,AAPL,150.42595981994978
2024-01-15,AAPL,150.58117361303732
2024-01-16,AAPL,149.77937613312338
2024-01-17,AAPL,150.08457243632168
2024-01-18,AAPL,149.33162156290987
2024-01-19,AAPL,148.31371068552056
2024-01-20,AAPL,148.62164448967903
