date,value
2023-01-01,104.96714153011233
2023-01-02,98.61735698828815
2023-01-03,106.47688538100692
2023-01-04,115.23029856408026
2023-01-05,97.65846625276664
2023-01-06,147.6586304305082
2023-01-07,115.79212815507391
2023-01-08,107.67434729152909
2023-01-09,95.30525614065049
2023-01-10,105.42560043585965
2023-01-11,95.36582307187538
2023-01-12,95.34270246429743
2023-01-13,102.41962271566034
2023-01-14,80.86719755342202
2023-01-15,82.75082167486967
2023-01-16,94.37712470759027
2023-01-17,89.87168879665576
2023-01-18,103.14247332595274
2023-01-19,90.91975924478788
2023-01-20,85.87696298664709
2023-01-21,74.65648768921554
2023-01-22,97.74223699513465
2023-01-23,100.67528204687923
2023-01-24,85.75251813786544
2023-01-25,94.55617275474818
2023-01-26,101.10922589709867
2023-01-27,88.49006422577698
2023-01-28,103.75698018345672
2023-01-29,93.99361310081196
2023-01-30,97.08306250206724
2023-01-31,93.98293387770603
2023-02-01,118.52278184508938
2023-02-02,99.86502775262066
2023-02-03,89.422890710441
2023-02-04,108.22544912103189
2023-02-05,147.79156350028978
2023-02-06,102.08863595004756
2023-02-07,80.40329876120225
2023-02-08,86.71813951101569
2023-02-09,101.96861235869123
2023-02-10,107.3846657999541
2023-02-11,101.7136828118997
2023-02-12,98.8435171761176
2023-02-13,96.98896304410711
2023-02-14,85.21478009632573
2023-02-15,92.80155791605291
2023-02-16,95.39361229040213
2023-02-17,110.57122226218915
2023-02-18,103.43618289568461
2023-02-19,82.36959844637266
